20001,无效账户-账户为未开户账户
20002,无效账户-账户是一个无效账户（已注销、挂失等等）
20003,无效账户-账户无对应业务产品的交易权限
20005,业务禁止-证券的业务开关关闭
20006,业务禁止-当前阶段不允许申报该类委托
20007,证券停牌-证券停牌,不允许该类申报委托
20008,价格错误-委托价格不是价格档位的整数倍;网上发行认购价格不等于发行价;配股认购价格不等于配股价
20009,价格错误-委托价格超过涨跌幅限制;盘后定价大宗交易委托价格不为指定价格;转融通证券出借委托的费率与公布的不一致
20010,数量非法-委托数量不是数量单位的整数倍;分级基金分拆合并委托数量非配比的整数倍
20011,量额非法-委托数量和金额都未满足最低交易门槛要求;委托数量或金额超过上限;开放式基金申购未满足最低申购金额要求;债券质押式协议回购初始交易、到期续做金额超过质押券实际总面额
20012,业务禁止-对折算率为0的证券不允许申报质押式回购质押申报;对非A股证券,成交申报业务子类别必须为非受限股份转让;对限售股份出借标志为否的证券,不允许使用首发后可出借限售股份进行转融通出借（含约定、非约定）;股份性质不适用于该产品所在的业务
20013,业务禁止融资融券标的不存在或业务被禁止;申报转融通证券出借委托,证券代码和期限不在当天发布的标的范围内;证券代码不在当天发布的港股通标的范围内;证券代码不在股票质押式回购业务标的范围内
20014,业务禁止-证券当天集中竞价没有成交,不能申报以成交量加权平均价交易的委托
20015,业务禁止-融券卖出禁止申报市价委托
20016,价格错误-融券卖出委托价格不满足提价检查要求
20017,无效账户-信用账户只能买入担保品证券
20018,无效账户-非信用账户申报融资融券委托
20019,无效单元-债券分销业务中,卖委托的交易单元非承销商交易单元
20020,无效账户-债券分销业务中,卖委托的证券账户非承销商证券账户或者买委托的证券账户为承销商证券账户
20021,数量超限-债券分销业务中,自行挂牌量超出自行挂牌总量
20022,股份卖空-持有股份不足;质押式报价回购初始交易数量大于可用标准券数量
20023,无效单元-委托的交易单元不存在;黄金ETF投资者交易单元找不到托管单元;转融通投资者交易单元找不到托管单元
20024,无效单元-委托的交易单元无对应产品的交易权限20025无效单元委托的交易单元无对应业务的交易权限
20026,无效单元-信用账户必须通过信用交易单元申报;非信用账户必须通过非信用交易单元申报
20027,无效单元-QFII账户未从指定交易单元申报
20028,无效单元-交易单元无对应产品的业务权限
20029,业务禁止-市场参与者业务资格被限制;持有可售冻结股份账户禁止市场化转融通证券约定申报出借
20030,约定号重-协议交易成交申报约定号重复
20031,配对失败-交易双方申报要素不匹配
20032,配对失败-B股协议交易境内账户和境外账户不能成交
20033,无对手方-协议交易点击成交申报约定号错误,未找到对应的定价申报
20034,金额非法-委托中的金额必须为金额单位的整数倍
20035,申购不足-申购ETF时投资者成份股不足
20036,赎回不足-赎回ETF时基金公司成份股不足
20037,现金超限-现金替代部分超过上限
